metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_valid,rate,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
tool_calls_total,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
write_calls,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_empty_path,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,3,6.2756,7.8189,0.7553,17.3331,0.7383,17.3331,3
